Site Outdoor Air Drybulb Temperature,Zone Windows Total Heat Gain Energy,Zone Air Relative Humidity,Zone Mechanical Ventilation Mass Flow Rate,Zone Thermostat Cooling Setpoint Temperature,Electricity_Zone_1
14.8,0.0,68.51678013849472,0.0,24.0,1618086.9861739753
14.4,0.0,66.70725325374622,0.0,24.0,1618086.9861739753
14.7,0.0,65.21852189988681,0.0,24.0,1618086.9861739753
15.4,0.0,63.65713556527296,0.0,24.0,1737010.9740219507
16.4,747860.0507318864,60.38460498059855,0.0,24.0,1737010.9740219507
17.3,3654794.30609923,65.7655086213828,0.0,24.0,2212706.9254138526
18.0,2233524.1891590953,65.24957143280098,3.5801392763826,24.0,5513748.527497057
18.6,4722902.725147271,66.73000455153586,17.005661562817362,24.0,5513748.527497057
19.3,3947261.271417644,67.40531920277473,68.02264625126938,24.0,5513748.527497057
20.2,2803466.2071797387,68.65888609363603,68.02264625126938,24.0,5513748.527497057
21.3,1223578.8681035894,69.63634478703206,68.0226462512694,24.0,5138957.777915558
23.0,4718346.335390806,69.93519394533614,68.02264625126934,24.0,5513748.527497057
24.4,3752057.544278718,70.32475378105207,68.02264625126938,24.0,5513748.527497057
24.0,8487060.737475337,70.65991864812739,68.02264625126938,24.0,5513748.527497057
23.1,8662047.332704088,70.53847803934984,68.02264625126945,24.0,5513748.527497057
21.9,4936601.475354318,71.31350861530869,68.0226462512694,24.0,4663261.826523656
20.5,2748965.170955848,73.24063476441088,68.02264625126945,24.0,3437984.375968754
19.2,0.0,75.49646892642807,68.02264625126932,24.0,3437984.375968754
18.2,0.0,71.20174047919566,4.85876044651924,24.0,2587497.674995352
17.5,0.0,72.93647214058106,0.0,24.0,2587497.674995352
16.9,0.0,71.2982765031145,0.0,24.0,1737010.9740219507
16.4,0.0,72.60282477314092,0.0,24.0,1618086.9861739753
15.8,0.0,73.5286302621662,0.0,24.0,1618086.9861739753
15.1,0.0,71.42903358052112,0.0,24.0,1618086.9861739753
14.3,0.0,71.82939887332303,0.0,24.0,1618086.9861739753
13.9,0.0,70.04874538947503,0.0,24.0,1618086.9861739753
14.4,0.0,67.92948980136015,0.0,24.0,1618086.9861739753
15.5,0.0,66.51667552561295,0.0,24.0,1737010.9740219507
16.9,5154747.715582831,57.51221645596601,0.0,24.0,1737010.9740219507
18.2,2389487.430275387,68.24747332516206,0.0,24.0,2212706.9254138526
19.0,1215470.185028991,58.114274400864666,11.337107708544897,24.0,5513748.527497057
19.5,3775353.592197237,57.90443183457473,22.674215417089794,24.0,5513748.527497057
20.0,2366297.372756325,57.26002921836121,68.02264625126938,24.0,5513748.527497057
20.6,2678855.294055211,56.048912007733165,34.01132312563469,24.0,5513748.527497057
21.7,2558402.7916283864,55.52032337143727,68.02264625126938,24.0,5138957.777915558
23.4,4017970.9498548927,54.983789952511316,68.02264625126938,24.0,5513748.527497057
25.0,3086991.184671835,54.528775830372965,68.02264625126938,24.0,5513748.527497057
24.7,2894388.0362386233,54.15080172625505,68.02264625126938,24.0,5513748.527497057
24.0,7007868.881655266,53.76190457884292,68.02264625126938,24.0,5513748.527497057
22.9,6784968.908358407,53.424575988687785,68.02264625126938,24.0,4663261.826523656
21.7,3290463.027810943,53.18305019630949,68.02264625126938,24.0,3437984.375968754
20.4,247861.2756690909,52.98041668184585,68.02264625126938,24.0,3437984.375968754
19.2,0.0,52.61402964112527,68.02264625126938,24.0,2587497.674995352
18.2,0.0,56.19504236891066,0.0,24.0,2587497.674995352
17.3,0.0,61.811899088891394,0.0,24.0,1737010.9740219507
16.6,0.0,64.07105225692213,0.0,24.0,1618086.9861739753
16.0,0.0,65.30855958082171,0.0,24.0,1618086.9861739753
15.7,0.0,66.10152381967258,0.0,24.0,1618086.9861739753
15.5,0.0,67.14456204539958,0.0,24.0,1618086.9861739753
15.5,0.0,67.4467345374053,0.0,24.0,1618086.9861739753
15.8,0.0,67.73121864176483,0.0,24.0,1618086.9861739753
16.5,0.0,67.28771232620463,0.0,24.0,1737010.9740219507
17.5,0.0,64.47711743695027,0.0,24.0,1737010.9740219507
18.7,102088.64427153829,73.2117943338215,0.0,24.0,2212706.9254138526
19.9,2153305.6859734897,61.15216917279865,11.337107708544897,24.0,5513748.527497057
21.0,2534726.2474154974,60.89882084106707,22.674215417089794,24.0,5513748.527497057
22.2,2875886.5197928785,60.058254698586225,68.02264625126938,24.0,5513748.527497057
23.3,2692364.0746410065,58.507233303305874,34.01132312563469,24.0,5513748.527497057
24.4,2768212.1261089654,57.8377122837283,68.02264625126938,24.0,5138957.777915558
25.5,2122945.905701538,57.17133976116365,68.02264625126938,24.0,5513748.527497057
